Date,Julian Day,Time,Air Temp,Site,Conductivity,Water Temp,pH,Salinity,Turbidity,DO,Chloride
12/26/2019,725,11:05,9.44,ShCr03,602.1,3.2,7.91,0.29,,13.44,31.62
1/8/2020,738,10:38,1.11,ShCr03,568.8,2.8,7.86,0.27,,12.18,25.07
2/5/2020,766,12:23,2.22,ShCr03,529.7,5.6,8.05,0.26,,12.06,29.35
2/20/2020,781,,,ShCr03,559,3.4,8.15,0.27,3.21,12.96,23.81
3/9/2020,799,10:22,12.22,ShCr03,559.7,4.8,8.39,0.27,,13.5,25.3
3/26/2020,816,10:55,10,ShCr03,506.3,7.6,8.34,0.25,,11.46,28.69
5/8/2020,859,8:41,7.78,ShCr03,487.5,9.7,8.23,0.24,,10.31,30.51
5/13/2020,864,10:51,12.78,ShCr03,474.3,9.2,8.67,0.23,,12.37,40.35
5/20/2020,871,8:23,8.89,ShCr03,576.8,12.5,8.33,0.28,,10.36,23.28
5/28/2020,879,8:42,18.89,ShCr03,558.1,18.7,8.08,0.27,,7.7,43.61
6/5/2020,887,10:44,20.56,ShCr03,557.5,18.6,8.27,0.27,,7.72,49.55
6/9/2020,891,11:21,27.22,ShCr03,615,19.4,8.32,0.3,,8.35,
6/17/2020,899,9:01,18.89,ShCr03,657,16.4,8.28,0.32,7.69,8.48,
6/23/2020,905,9:20,21.11,ShCr03,662,19.8,8.28,0.32,,7.61,
6/29/2020,911,9:46,23.89,ShCr03,584,20.2,8.3,0.28,176,7.12,30.84
7/8/2020,920,9:14,23.89,ShCr03,643,21.9,8.33,0.31,,6,27.8
7/29/2020,941,12:19,28.89,ShCr03,592,24.2,8.33,0.29,4.54,6.43,48.99
8/4/2020,947,10:21,21.67,ShCr03,742,21.2,8.27,0.36,6.17,5.94,69.58
8/12/2020,955,9:58,23.89,ShCr03,817,21.6,8.34,0.4,7.16,5.7,69.92
8/19/2020,962,14:48,25,ShCr03,840,23,8.52,0.41,6.68,6.92,72.3
7/3/2019,549,12:50,27.22,ShCr05,448.8,22.5,8.59,0.22,,8.66,27.07
7/10/2019,556,10:55,24.44,ShCr05,451.9,21.2,8.59,0.22,48.68,8.79,28.45
7/24/2019,570,11:46,20,ShCr05,499.1,18.3,8.63,0.24,,9.09,21.73
7/29/2019,575,9:32,23.89,ShCr05,513.6,19.9,8.44,0.25,10.79,8.24,20.7
8/7/2019,584,9:38,20,ShCr05,450,20.2,8.55,0.22,51.88,7.43,21.81
